id,source_recipe_code,food_code_org,food_name,amount,unit
01cd6788-ed35-4f28-ae53-0bb070011e73,ASC433,UK-17-062,"Sugar, icing",4,tsp
01cefea5-5c6c-4c54-99a8-a3cc9b773611,BFP370,UK-12-332,"Cream, fresh, single",100,g
01d918d3-b3a4-42d1-8703-d047878b4e76,ASC418,M001,"Egg, poultry, whole, raw",50,g
01da0eb5-8d71-4050-a3ab-180780f0f5b3,ASC141,G031,"Pepper, black (Piper nigrum)",0.25,tsp
01e61f43-c615-4aa4-9bb7-43602511902e,BFP108,G014,"Ginger, fresh (Zingiber officinale)",0.13,tsp
01ee1a6f-e674-418b-96a8-aa54c50aaf85,OSR052,G033,Turmeric powder (Curcuma domestica),0.5,tsp
01fe56d0-09e1-4aa2-aa66-478798a0f0fd,OSR073,D034,"Capsicum, red (Capsicum annuum)",74.5,g
02028540-da6f-4e87-9dbb-05ec3bea8685,ASC402,UK-17-377,"Water, distilled",3,tbsp
02083d83-fbec-4426-8f2d-ae0f9d80785a,OSR093,UK-17-367,Salt,1,tsp
02108c89-2070-441f-9e94-d4ace373dc22,OSR137,UK-17-377,"Water, distilled",2,tbsp
022070fa-f1cb-4b54-9acf-f4f0e973eee4,BFP431,A018,"Wheat flour, refined (Triticum aestivum)",1,tsp
02317c47-bafd-4318-959b-979198a7d32b,ASC062,UK-19-496,Ham,15,g
02373349-670d-4163-83c0-350032bf6af0,ASC011,E014,"Cherries, red (Prunus cerasus)",5,g
023db2a4-b6c4-43d5-9abb-27667774f463,ASC081,G009,Coriander leaves (Coriandrum sativum),1,sprig
024d1f2b-e91b-4e0d-b0dd-45f9e2f593b4,BFP262,UK-17-045,"Oil, sunflower",1,tsp
024e9903-a701-4427-9cd5-1313bec746d3,ASC333,L002,"Milk, whole, Cow",30,ml
024f31fe-b647-4a8f-85f0-3723f0570e16,ASC260,UK-13-352,"Spring onions, bulbs and tops, raw",25,g
